Area_of_Origin,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Fire_Alarm_System_Presence,Ignition_Source,Latitude,Longitude,Material_First_Ignited,Possible_Cause
Chimney/Flue Pipe,0,0,2000,0,Fire alarm system present,Other Mechanical,43.6618128,-79.37161109,Insulation,"Other unintentional cause, not classified"
"Process Manufacturing (inc manf, prod assembly, repair)",0,0,2000,0,No Fire alarm system,"Heat Treatment Equipment (eg. furnace, oven, kiln, quench tanks,",43.66006013,-79.48001518,Multiple Objects or Materials,Improper handling of ignition source or ignited material
"Closet (eg. clothes, broom, linen closet, etc.)",0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Halogen Lamp or light,43.71675253,-79.24577142,Linen Other than Bedding,Design/Construction/Installation/Maintenance Deficiency
Other Outside Area,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.76724958,-79.49669662,"Rubbish, Trash, Waste",Undetermined
Porch or Balcony,0,0,2000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.6724401,-79.38616089,"Bush, Grass, Tree, Leaves, etc.",Improperly Discarded
Laundry Area,0,0,2000,0,Fire alarm system present,Undetermined,43.68892503,-79.2740166,Undetermined (formerly 98),Undetermined
Cooking Area or Kitchen,1,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Other Electrical,43.66027577,-79.34808851,Cabinetry,"Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.67969886,-79.44596949,"Cooking Oil, Grease",Improper handling of ignition source or ignited material
"Living Area (e.g. living, TV, recreation, etc)",0,0,2000,0,Fire alarm system present,Circuit Wiring - Copper,43.6703087,-79.40530512,Electrical Wiring Insulation,Electrical Failure
Chimney/Flue Pipe,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Wood burning stove,43.6976883,-79.48152042,"Creosote (chimney, flue pipe)","Routine maintenance deficiency, eg creosote, lint, grease buildup"
"Dining or Beverage Area (inc mess, canteen, lunchroom, cafeteria",0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.75919078,-79.49088336,"Cooking Oil, Grease",Unattended
Office,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.69693769,-79.49387385,"Other Soft Goods, Wearing Apparel",Undetermined
Laundry Area,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Clothes Dryer,43.72574319,-79.50813825,"Fabric - Natural (eg. cotton, wool, etc.)",Undetermined
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.76882666,-79.52040489,"Rubbish, Trash, Waste","Other unintentional cause, not classified"
"Lobby, Entranceway",0,0,2000,0,Fire alarm system present,Candle,43.66540435,-79.46455778,Other Furniture,Unattended
"Trash, rubbish area (outside)",0,0,2000,0,Fire alarm system present,Under Investigation,43.73650762,-79.34654618,"Paper, Cardboard",Undetermined
Cooking Area or Kitchen,1,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.70333747,-79.42591117,"Cooking Oil, Grease","Other unintentional cause, not classified"
Passenger Area,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.70858959,-79.46411488,Vehicle,Improperly Discarded
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Other Open Flame Tools/Smokers' Articles,43.70251782,-79.51951,"Fabric - Synthetic, Combination",Used or Placed too close to combustibles
"Living Area (e.g. living, TV, recreation, etc)",0,0,2000,0,No Fire alarm system,"Terminations-Copper (incl receptacles, switches, lights)",43.72425476,-79.62077731,Electrical Wiring Insulation,Electrical Failure
Trunk/Cargo Area,0,0,2000,0,No Fire alarm system,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.68580849,-79.58097677,"Paper, Cardboard",Improperly Discarded
Cooking Area or Kitchen,1,0,2000,0,Fire alarm system present,Oven,43.60043272,-79.51113866,Multiple Objects or Materials,"Other unintentional cause, not classified"
Porch or Balcony,0,0,2000,0,Fire alarm system present,Other Open Flame Tools/Smokers' Articles,43.7075512,-79.50511495,Multiple Objects or Materials,Improperly Discarded
"Trash, rubbish area (outside)",0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.64788537,-79.5268928,"Paper, Cardboard",Undetermined
Engine Area,0,0,2000,0,Undetermined,Vehicle - Mechanical,43.74638653,-79.48203979,Vehicle,Undetermined
Other Outside Area,0,0,2000,0,Undetermined,Other,43.64184385,-79.40612328,Other,Mechanical Failure
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.65389605,-79.39844581,"Cooking Oil, Grease",Unattended
Other Outside Area,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Matches or Lighters (unable to distinguish),43.75285852,-79.25852327,Exterior Cladding,"Other unintentional cause, not classified"
Cooking Area or Kitchen,1,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.6718022,-79.38463412,"Cooking Oil, Grease",Unattended
Porch or Balcony,0,0,2000,0,Undetermined,Painting Equipment,43.59817377,-79.50546894,Wood,Improperly Discarded
"Trash, rubbish area (outside)",0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Chemical Reaction (eg. spontaneous combustion, etc.)",43.76865324,-79.21471928,"Rubbish, Trash, Waste",Improperly Discarded
Laundry Area,0,0,2000,0,Fire alarm system present,"Chemical Reaction (eg. spontaneous combustion, etc.)",43.63871533,-79.44621942,Linen Other than Bedding,Improperly Discarded
Attached Deck,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.74181158,-79.25324133,Floor,Undetermined
Electrical Systems,0,0,2000,0,No Fire alarm system,Vehicle - Electrical,43.6550454,-79.57244262,Other,Electrical Failure
Porch or Balcony,0,0,2000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.65893289,-79.33660377,Other,Improper handling of ignition source or ignited material
Roof,0,0,2000,0,Fire alarm system present,Other Mechanical,43.76976981,-79.3038462,Insulation,"Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,"Stove, Range-top burner",43.76581614,-79.25650598,"Cooking Oil, Grease",Unattended
"Ducting - Exhaust (inc cooking, fumes, etc.)",0,0,2000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.64576293,-79.39364004,"Rubbish, Trash, Waste",Improperly Discarded
Crawl Space (includes sub-structure),0,0,2000,0,Fire alarm system present,Circuit Wiring - Copper,43.64739509,-79.38611058,Other Building Component,Electrical Failure
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,Oven,43.81082338,-79.18317151,Undetermined (formerly 98),Unattended
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,"Stove, Range-top burner",43.65661818,-79.49204445,"Books, Magazines, Newspapers","Other unintentional cause, not classified"
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,2000,0,Undetermined,Undetermined,43.6695386,-79.46632054,Multiple Objects or Materials,Undetermined
Other Outside Area,0,0,2000,0,Fire alarm system present,Undetermined,43.78473245,-79.28149677,Bedding,Undetermined
Porch or Balcony,0,0,2000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.75708628,-79.33751631,Multiple Objects or Materials,Improperly Discarded
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,2000,0,Fire alarm system present,Undetermined,43.74270693,-79.59458167,"Rubbish, Trash, Waste",Undetermined
Attached Deck,0,0,2000,0,No Fire alarm system,Open Fired Barbeque - Fixed or Portable,43.7174315,-79.23130801,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Locker (apartment storage),0,0,2000,0,Fire alarm system present,Matches or Lighters (unable to distinguish),43.71948581,-79.4439096,"Paper, Cardboard",Suspected Vandalism
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2000,0,Fire alarm system present,"Incandescent Lamp - Light Bulb, Spotlight",43.76711232,-79.4097095,"Mattress, Pillow",Used or Placed too close to combustibles
Porch or Balcony,0,0,2000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.70779,-79.53363,Other,Improperly Discarded
Mechanical/Electrical Services Room,0,0,2000,0,Fire alarm system present,Other Mechanical,43.64844,-79.37379,Insulation,Design/Construction/Installation/Maintenance Deficiency
Cooking Area or Kitchen,2,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.6964,-79.40269,Wood,Unattended
Other - unclassified,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Other,43.64441,-79.52454,Other,"Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.63995,-79.39563,"Other Soft Goods, Wearing Apparel",Unattended
Exterior Wall,0,0,2000,0,Fire alarm system present,"Hot Ashes, Embers, Spark",43.63518,-79.40133,Plastic,Improperly Discarded
Porch or Balcony,0,0,2000,0,Fire alarm system present,Clothes Dryer,43.78465,-79.28194,Electrical Wiring Insulation,Electrical Failure
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2000,0,Fire alarm system present,Candle,43.72741,-79.26592,"Rubbish, Trash, Waste",Other misuse of ignition source/material ignited
Electrical Systems,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Electrical,43.66379,-79.48519,Vehicle,Electrical Failure
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.72815,-79.52023,Linen Other than Bedding,Used or Placed too close to combustibles
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,Deep Fat Fryer,43.68951,-79.35367,"Cooking Oil, Grease",Unattended
Roof,0,0,2000,0,Fire alarm system present,"Chemical Reaction (eg. spontaneous combustion, etc.)",43.75144,-79.55298,Exterior Roof Covering,Improper handling of ignition source or ignited material
"Court, Patio, Terrace",0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Candle,43.7401,-79.54093,"Curtain, Drapery",Unattended
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.69871,-79.33987,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.74323,-79.24506,"Cooking Oil, Grease",Unattended
Electrical Systems,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Service/Utility Lines (includes power/hydro transmission lines),43.82595,-79.29733,Wood,Electrical Failure
Porch or Balcony,0,0,2000,0,Fire alarm system present,Undetermined,43.63902,-79.41592,"Non-upholstered Chair, etc.",Undetermined
Electronic Equipment,0,0,2000,0,Undetermined,"Cord, Cable for Appliance, Electrical Articles",43.6474,-79.38611,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",43.78859,-79.34079,Other,Undetermined
Cooking Area or Kitchen,1,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.74429,-79.59537,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,Oven,43.64475,-79.39179,"Cooking Oil, Grease",Unattended
Laundry Area,0,0,2000,0,Undetermined,Clothes Dryer,43.64103,-79.43452,Bedding,Design/Construction/Installation/Maintenance Deficiency
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.65705,-79.44893,Cabinetry,Unattended
Other Storage Area,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Circuit Wiring - Copper,43.65114,-79.4763,"Other Soft Goods, Wearing Apparel",Electrical Failure
Cooking Area or Kitchen,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Refrigerator, Freezer (includes vending machine)",43.74387,-79.35732,Undetermined (formerly 98),Electrical Failure
Electrical Systems,0,0,2000,0,No Fire alarm system,Transformer,43.68581,-79.58098,Electrical Wiring Insulation,"Unintentional, cause undetermined"
Other Storage Area,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Other Electrical,43.75382,-79.41709,Bedding,"Unintentional, cause undetermined"
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,2000,0,Undetermined,"Blow Torch, Bunsen Burner",43.64084,-79.43541,Interior Wall/Ceiling,Design/Construction/Installation/Maintenance Deficiency
Chimney/Flue Pipe,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Open Fire (eg. camp fire, rubbish fire, etc.)",43.67846,-79.40089,Wood,Design/Construction/Installation/Maintenance Deficiency
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,Oven,43.65965,-79.43644,"Fabric - Natural (eg. cotton, wool, etc.)",Children Playing (Ages 11 and under)
"Dining or Beverage Area (inc mess, canteen, lunchroom, cafeteria",0,0,2000,0,Undetermined,Undetermined,43.79174,-79.24898,Undetermined (formerly 98),Electrical Failure
Attic Area,0,0,2000,0,Undetermined,Cutting/Welding Equipment,43.72057,-79.38106,Insulation,"Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,"Stove, Range-top burner",43.68042,-79.33732,Other,"Routine maintenance deficiency, eg creosote, lint, grease buildup"
Exterior Wall,0,0,2000,0,Fire alarm system present,Other Open Flame Tools/Smokers' Articles,43.67299,-79.40214,"Rubbish, Trash, Waste",Improperly Discarded
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,Other Open Flame Tools/Smokers' Articles,43.70919,-79.3862,"Rubbish, Trash, Waste",Improperly Discarded
Electronic Equipment,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Circuit Wiring - Copper,43.66965,-79.30989,Interior Wall/Ceiling,Electrical Failure
Electrical Systems,0,0,2000,0,Undetermined,Other Electrical Distribution Item,43.75025,-79.46339,Electrical Wiring Insulation,Electrical Failure
"Trash, rubbish area (outside)",0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.76852,-79.50056,"Mattress, Pillow",Improperly Discarded
Office,0,0,2000,0,No Fire alarm system,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.67155,-79.39337,"Rubbish, Trash, Waste",Other misuse of ignition source/material ignited
Cooking Area or Kitchen,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.75457,-79.56596,"Cooking Oil, Grease","Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,"Stove, Range-top burner",43.66253,-79.45883,"Other Flammable, Combustible Liquid",Improper handling of ignition source or ignited material
"Lobby, Entranceway",0,0,2000,0,No Fire alarm system,Other Electrical,43.6649,-79.44574,Wood,Electrical Failure
Other Structural Area,0,0,2000,0,Fire alarm system present,Undetermined,43.64529,-79.38247,Plastic,Undetermined
Engine Area,0,0,2000,0,Fire alarm system present,Undetermined,43.64478,-79.38502,Vehicle,"Unintentional, cause undetermined"
Porch or Balcony,0,0,2000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.76163,-79.39303,Undetermined (formerly 98),"Unintentional, cause undetermined"
Undetermined  (formerly 98),0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.701,-79.50063,Undetermined (formerly 98),Undetermined
"Trash, rubbish area (outside)",0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Open Fire (eg. camp fire, rubbish fire, etc.)",43.6973,-79.50946,Exterior Cladding,Unattended
Cooking Area or Kitchen,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.76311,-79.33033,Plastic,Used or Placed too close to combustibles
Cooking Area or Kitchen,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.68116,-79.48956,Plastic,"Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,Deep Fat Fryer,43.65317,-79.37577,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
"Parking Area, Parking Lot",0,0,2000,0,Undetermined,"Exposure, source vehicle (outside structure)",43.60483,-79.52081,Vehicle,Undetermined
Laundry Area,0,0,2000,0,Fire alarm system present,Other Electrical,43.66424,-79.36281,Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.72194,-79.24535,"Cooking Oil, Grease","Other unintentional cause, not classified"
"HVAC Equipment Room (furnace room, water heater closet, boiler)",0,0,2000,0,No Fire alarm system,Central Heating/Cooling Unit,43.77955,-79.13255,Other,Improper handling of ignition source or ignited material
"Parking Area, Parking Lot",0,0,2000,0,Undetermined,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.67128,-79.37542,"Rubbish, Trash, Waste","Other unintentional cause, not classified"
Undetermined  (formerly 98),0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.72304,-79.55155,Other Building Component,Undetermined
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,Oven,43.68182,-79.35355,Other,Unattended
Cooking Area or Kitchen,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.68555,-79.56139,"Cooking Oil, Grease","Unintentional, cause undetermined"
Garage,0,0,2000,0,Fire alarm system present,Other Electrical,43.78329,-79.28826,Insulation,Electrical Failure
Engine Area,0,0,2000,0,No Fire alarm system,Undetermined,43.68452,-79.31822,Undetermined (formerly 98),Undetermined
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,2000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.76793,-79.18837,"Rubbish, Trash, Waste",Improperly Discarded
"Dining or Beverage Area (inc mess, canteen, lunchroom, cafeteria",0,0,2000,0,Fire alarm system present,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",43.7657,-79.39202,"Rug, Carpet",Improper handling of ignition source or ignited material
Undetermined  (formerly 98),0,0,2000,0,Undetermined,Undetermined,43.6396,-79.43693,Undetermined (formerly 98),Undetermined
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Circuit Wiring - Copper,43.80228,-79.21197,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,2000,0,Undetermined,Oven,43.64877,-79.52875,"Cooking Oil, Grease",Improperly Discarded
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,"Stove, Range-top burner",43.70365,-79.51824,Other,Unattended
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Other Electrical,43.74879,-79.55763,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Refrigerator, Freezer (includes vending machine)",43.76783,-79.47148,Other,Mechanical Failure
Engine Area,0,0,2000,0,Fire alarm system present,Vehicle - Electrical,43.7006,-79.51779,Undetermined (formerly 98),Electrical Failure
Laundry Area,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Washing Machine,43.76261,-79.52146,Multiple diverse objects ignited,"Unintentional, cause undetermined"
Cooking Area or Kitchen,0,0,2000,0,Undetermined,"Stove, Range-top burner",43.79174,-79.24898,"Cooking Oil, Grease","Other unintentional cause, not classified"
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,2000,0,Fire alarm system present,Other Electrical Distribution Item,43.74725,-79.43648,Plastic,Electrical Failure
Laundry Area,1,0,2000,0,Fire alarm system present,Undetermined,43.674,-79.3963,Undetermined (formerly 98),Undetermined
Mechanical/Electrical Services Room,0,0,2000,0,Fire alarm system present,Other Electrical Distribution Item,43.71275,-79.46087,Electrical Wiring Insulation,Undetermined
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Terminations-Copper (incl receptacles, switches, lights)",43.65768,-79.56766,Electrical Wiring Insulation,Electrical Failure
Porch or Balcony,0,0,2000,0,Undetermined,Open Fired Barbeque - Fixed or Portable,43.67127,-79.34169,Floor,"Other unintentional cause, not classified"
Exterior Wall,0,0,2000,0,Undetermined,Undetermined,43.798,-79.42008,"Paper, Cardboard",Undetermined
Electronic Equipment,0,0,2000,0,Undetermined,Other Heating Equipment,43.64853,-79.34504,Structural Member,Electrical Failure
"Court, Patio, Terrace",0,0,2000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.63524,-79.3992,"Bush, Grass, Tree, Leaves, etc.",Improperly Discarded
Cooking Area or Kitchen,1,0,2000,0,No Fire alarm system,"Stove, Range-top burner",43.80554,-79.21156,"Cooking Oil, Grease",Unattended
Other Outside Area,0,0,2000,0,Undetermined,Undetermined,43.74289,-79.26287,"Rubbish, Trash, Waste",Undetermined
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.77099,-79.41332,"Rubbish, Trash, Waste",Undetermined
Basement/cellar (not partitioned),0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Clothes Dryer,43.66829,-79.49959,Other,"Routine maintenance deficiency, eg creosote, lint, grease buildup"
Other Outside Area,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.7917,-79.44213,"Upholstered Sofa, Chair, etc.",Improperly Discarded
Mechanical/Electrical Services Room,0,0,2000,0,Fire alarm system present,Service/Utility Lines (includes power/hydro transmission lines),43.71113,-79.39123,Other,Electrical Failure
Garage,0,0,2000,0,Fire alarm system present,Cutting/Welding Equipment,43.76421,-79.55325,Other Gases,Improper handling of ignition source or ignited material
Porch or Balcony,0,0,2000,0,Fire alarm system present,Undetermined,43.69114,-79.33297,Multiple diverse objects ignited,Undetermined
Cooking Area or Kitchen,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.71873,-79.33496,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,2000,0,Undetermined,"Stove, Range-top burner",43.7309,-79.62426,"Cooking Oil, Grease",Unattended
Concealed Floor Area,0,0,2000,0,Fire alarm system present,"Cord, Cable for Appliance, Electrical Articles",43.77298,-79.41383,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,1,0,2000,0,Fire alarm system present,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",43.67201,-79.39886,Other,Unattended
Cooking Area or Kitchen,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.70844,-79.27584,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,Circuit Wiring - Copper,43.78384,-79.47015,Electrical Wiring Insulation,Design/Construction/Installation/Maintenance Deficiency
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.70444,-79.55008,"Cooking Oil, Grease",Used or Placed too close to combustibles
Engine Area,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Mechanical,43.6983,-79.39664,Vehicle,Mechanical Failure
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,Oven,43.70663,-79.42463,Natural Gas,"Unintentional, cause undetermined"
Electronic Equipment,0,0,2000,0,Fire alarm system present,Transformer,43.64115,-79.37684,Electrical Wiring Insulation,Electrical Failure
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,0,2000,0,Fire alarm system present,Candle,43.65585,-79.39923,"Curtain, Drapery",Used or Placed too close to combustibles
